Lista de Productos;;;;;
Montos en USD a la tasa 213,373.00;;;;;
Código;Descripción;Costo;Precio;Costo USD;Precio USD
2009261;PIERNA PORTO NOVO dCORDERO pK;0.00;0.05;0.00;0.00
2010655;CHURRASCO PLUMROSE COPA dCERDO pK;0.00;0.05;0.00;0.00
1511928;CARNE BIFE ANCHO IMPORTADA pK;0.00;0.04;0.00;0.00
1524477;CHULETA SOLOMO pK;0.00;0.04;0.00;0.00
2006620;LOMO PAMPLONA PK CERDO MARINADO REBAN;0.00;0.04;0.00;0.00
2011536;CARPACCIO ESPECIALIDAD pK;0.00;0.04;0.00;0.00
2011537;ESTROGONO ESPECIALIDAD pK;0.00;0.04;0.00;0.00
2011538;MEDALLONES dLOMITO ESPECIALIDAD pK;0.00;0.04;0.00;0.00
2011539;ENRROLLADOS dSOBRE BARRIGA pK;0.00;0.04;0.00;0.00
1518408;HUESO PORCIVEN AHUM pK;0.00;0.03;0.00;0.00
2008754;CONFIT TIO CONEJO DE MUSLO dCONEJO;0.00;0.03;0.00;0.00
2008764;COSTILLAS TIO COCHINO dCOCHINO pK;0.00;0.03;0.00;0.00
1524580;COSTILLA PLUMROSE sBBQ pK;0.00;0.02;0.00;0.00
2002576;COSTILLITAS MONTSERRATINA cBBQ pK;0.00;0.02;0.00;0.00
2006102;COSTILLA PAMPLONA PK MARINADA CRIOLLA;0.00;0.02;0.00;0.00
1004084;CHULETA SERVIPORK AHUM pK;0.00;0.01;0.00;0.00
1005519;CENTRO LOMITO pK;0.00;0.01;0.00;0.00
1005594;CHURRASCO ESPECIAL pK;0.00;0.01;0.00;0.00
1005611;ROAST BEEF DE RES GARZON pK;0.00;0.01;0.00;0.00
1005613;MUCHACHO ALINADO pK;0.00;0.01;0.00;0.00
1005654;CARNE PUNTA URUGUAYA pK;0.00;0.01;0.00;0.00
1021532;DESMECHAR LIGHT BAND pK;0.00;0.01;0.00;0.00
1022359;MILANESA LIGHT BANDEJA pK;0.00;0.01;0.00;0.00
1027953;CARNE LAGARTO LIMP sHUESO  pK;0.00;0.01;0.00;0.00
1032481;COSTILLA RES ALINADA P\KILO;0.00;0.01;0.00;0.00
1509705;CHULETA FRIO CARNE pK;0.00;0.01;0.00;0.00
1511141;CHULETA SEMOSA AHUMADA pK;0.00;0.01;0.00;0.00
1511798;CARNE PULPA NEGRA IMPORTADA pK;0.00;0.01;0.00;0.00
1511800;CARNE LAGARTO IMPORTADA pK;0.00;0.01;0.00;0.00
1511802;CARNE COGOTE IMPORTADA pK;0.00;0.01;0.00;0.00
1512619;CARNE IMPORTADA EMPAC AL VACIO pK;0.00;0.01;0.00;0.00
1517064;CHULETA PROEMCA AHUM pK;0.00;0.01;0.00;0.00
1524284;PANCETAS CERDO pK;0.00;0.01;0.00;0.00
1525631;MEDALLONES CERDO AL FRIO pK;0.00;0.01;0.00;0.00
1526031;COSTILLA EL TUNAL pK;0.00;0.01;0.00;0.00
1526032;PERNIL TUNAL cHUESO Y sPIEL pK;0.00;0.01;0.00;0.00
1529879;CARNE PRIMERA CASA pK;0.00;0.01;0.00;0.00
1529880;CARNE SEGUNDA CASA pK;0.00;0.01;0.00;0.00
2001462;HUESO MONSTSERRATINA CERDO AHUM pK;0.00;0.01;0.00;0.00
2001466;CODILLOS MONTSERRATINA AHUM CERD pK;0.00;0.01;0.00;0.00
2007064;PAPADA dCERDO pK;0.00;0.01;0.00;0.00
